107	2346	4	22.43
137	5593	3	33.14
444	14	9	12.76
1370	14	3	4.55
104	564	3	4.81
98	281	82	425.89
7	629	12	49.61
107	998	8	42.15
115	1157	12	94.78
561	101	7	13.29
124	1558	6	47.31
98	2977	3	9.74
1510	579	3	37.3
932	12	5	7.69
400	122	6	25.97
133	2444	5	47.91
106	1095	5	21.66
138	431	5	29.43
106	1027	7	34.18
101	2130	7	34.82
177	726	4	31.35
677	101	6	12.02
136	210	3	7.52
2462	111	3	17.08
108	1529	3	12.57
105	167	64	266.29
116	1450	7	49.49
111	247	14	48.37
101	911	6	15.61
133	802	7	52.44
1472	110	3	12.63
168	485	4	27.03
13	112	13	6.72
409	14	6	4.19
7	3658	4	24.19
633	144	6	45.15
661	14	7	12.17
168	108	21	51.88
173	719	13	136.95
439	109	4	9.08
547	14	6	6.77
1537	14	3	5.21
108	4081	5	45.55
101	2455	3	9.91
7	1796	4	16.05
178	183	6	29.27
355	117	3	6.92
2305	12	4	11.77
335	9	3	10.13
1781	101	7	31.42
2005	12	3	6.36
1571	120	3	16.8
1084	12	9	26.95
105	368	10	31.47
98	3996	4	20.35
322	1676	3	33.65
103	4192	3	18.52
107	593	5	15.61
2059	102	3	11.45
124	1181	3	16.92
250	118	7	19.95
2274	12	6	23.91
105	1231	5	21.2
105	1187	5	20.64
98	4682	4	25.27
376	111	4	9.15
351	892	7	84.56
509	110	6	20.55
133	1767	7	66.47
101	1937	5	19.12
197	108	10	18.13
109	1657	3	13.21
7	2170	5	24.77
733	121	4	18.99
129	501	4	19.62
135	119	14	20.58
135	170	5	12.92
1965	3587	5	95.89
186	231	3	14.03
119	2597	5	39.34
110	3665	3	19.56
104	2495	4	21.46
1228	14	3	3.98
105	1816	5	25.61
110	3817	3	19.56
101	3735	3	12.86
107	163	13	17.92
112	610	12	72.07
106	1397	11	77.79
142	705	3	18.84
129	1079	5	35.15
129	1011	3	17.47
113	2738	5	39.7
117	192	5	7.37
104	815	4	11.43
851	101	17	84.03
1679	12	3	4.98
195	122	10	31.28
103	493	3	4.01
1345	101	14	82.34
3126	101	3	11.68
110	103	195	375.7
104	2097	4	19.46
1316	101	3	5.7
350	489	3	26.48
101	301	15	29.75
105	979	6	24.77
98	3434	5	26.27
114	555	16	105.66
111	2175	3	15.68
172	856	6	54.14
194	562	3	21.55
524	108	7	25.68
199	428	6	48.8
105	791	3	7.06
1299	14	3	4.25
112	1702	5	31.48
106	433	17	83.67
294	423	5	45.2
12	104	456	397.86
147	1951	3	25.69
127	128	8	9.58
1859	3372	6	122.29
106	517	4	9.28
12	155	22	4.37
370	108	3	4.4
106	585	3	6.17
151	1798	4	37.01
120	264	5	13.3
1178	101	3	5.13
101	488	12	31.71
109	187	20	57.11
101	556	14	46.25
115	2176	3	17.59
12	2970	3	9.31
98	683	33	208.56
144	181	5	17.58
1596	107	3	12.52
103	241	24	82.78
7	2989	3	14.41
1817	102	3	10.37
1211	101	3	5.4
377	12	7	4.61
98	2407	9	56.86
148	439	3	16.2
148	379	3	15.48
118	816	4	18.31
341	108	3	3.91
262	265	6	46.1
12	1421	4	7.8
118	646	28	246.46
106	1278	5	23.37
929	14	5	8.69
101	1340	4	10.24
103	307	25	110.2
3654	106	3	18.35
120	1561	4	24.98
280	14	11	8.58
1792	108	3	13.49
104	1053	9	46.4
105	3258	3	16.17
130	418	3	12.04
756	115	3	11.22
107	507	14	68.7
169	2331	3	28.99
2402	105	3	14.33
447	12	9	11.06
202	406	4	28.97
114	1520	3	15.33
113	178	14	38.33
839	12	4	3.95
1126	134	3	19.17
2159	103	3	12.54
98	2422	7	34.86
1586	4693	4	79.11
216	141	4	15.14
2285	101	3	9.21
1011	178	12	135.37
12	319	12	12.75
2025	101	7	34.82
1271	103	3	9.42
105	772	3	6.88
217	120	5	10.64
108	2079	3	14.61
103	1482	3	10.54
109	290	4	5.53
116	2054	5	35.85
103	1586	3	10.97
440	108	4	8.85
367	142	4	21.82
313	14	8	4.98
121	637	9	55.04
101	318	12	20.53
109	423	3	5.22
157	405	4	24.69
410	7	58	461.14
157	557	7	56.24
209	158	5	22.92
150	4168	3	32.87
330	101	6	4.63
871	149	3	20.69
111	2338	4	24.55
123	171	12	38.42
943	101	12	50.18
5776	5	3	38.02
902	799	4	50.27
105	1025	5	19.13
107	255	25	105.77
7	427	5	7.94
1630	102	3	9.9
323	132	3	11.11
1279	101	3	5.7
295	101	8	6.91
8	498	3	12.2
581	12	15	41.93
107	212	13	29.3
113	533	6	25.75
113	473	18	115.26
119	141	24	73.54
337	104	7	15.13
128	251	6	23.12
101	1475	3	6.35
103	458	11	39.51
117	116	76	200.24
98	4807	3	14.54
2812	110	3	17.33
113	865	8	47.85
108	340	16	71.21
108	414	4	8.59
107	820	20	145.58
103	2356	3	13.18
118	548	16	107.65
101	3318	3	11.68
107	760	6	24.17
285	114	8	26.29
142	108	52	179.21
154	628	7	57.56
109	5600	3	23.05
186	145	12	65.71
1816	101	8	38.98
352	134	4	18.3
494	103	3	4.01
119	2492	3	19.61
1075	147	3	21.69
7	2207	4	18.52
1004	102	3	6.97
116	6636	3	30.55
3030	138	3	28.21
39	136	4	6.44
198	1833	6	68.86
4731	12	3	14.09
583	120	6	29.93
2	260	5	7.13
428	2120	5	68.74
105	2877	3	15.18
3087	107	6	47.92
1190	12	6	13.88
101	756	9	27.63
855	150	5	40.2
105	383	9	27.3
264	295	6	48.31
1508	3898	4	70.82
1267	1325	11	195.23
952	112	4	18.34
355	128	5	22.95
101	2502	3	9.91
178	124	16	65.68
1712	14	3	6.01
146	496	3	16.57
114	703	13	86.91
152	148	3	6.41
353	158	5	31.78
138	448	4	22.17
184	2563	4	43.89
12	651	5	4.73
172	247	3	13.54
691	16	4	19.48
2720	14	3	9.06
104	1180	3	8.86
2	590	7	27.81
183	529	3	20.17
114	2555	5	38.01
98	1395	13	66.95
386	2	5	12.33
2453	101	3	9.91
121	588	5	23.68
101	958	6	16.11
103	1995	3	11.96
249	12	12	6.23
121	436	4	14.4
7	5273	3	19.36
17	138	3	5.7
1699	101	5	17.3
346	103	5	8.04
