7013	109	3	9.28
236	838	3	7.78
21	1153	4	8.14
1767	158	3	8.14
107	2346	8	14.48
101	1832	11	7.6
1417	182	3	8.3
2342	114	5	7.56
4197	121	3	7.24
5091	166	3	18.62
951	157	4	8.23
116	275	23	6.89
128	1062	5	6.82
134	691	6	7.32
122	462	16	15.84
160	1073	4	9.14
160	7236	3	21.77
137	5593	3	14.56
891	1243	3	19.57
6411	16	3	13.88
5199	13	4	23.09
629	849	3	15.57
1726	121	5	7
292	490	4	10.93
2219	142	3	8.17
416	133	14	22.88
560	109	21	20.91
102	2719	6	7.82
2062	146	3	8.5
5703	112	3	7.25
105	5848	3	7.8
683	229	3	6.71
6956	1062	3	37.76
362	635	3	10.2
578	344	3	9.09
613	290	4	12.84
114	3150	4	7.29
751	279	3	8.74
169	2888	3	11.9
201	305	9	19.55
7	629	21	13.42
498	3800	3	24.2
107	998	13	11.86
115	1157	13	28.63
181	958	5	14.42
118	143	69	12.06
4865	145	3	15.71
3788	111	4	7.03
806	103	16	9.6
115	1217	9	13.96
1905	17	3	9.66
124	1558	9	26.44
894	203	3	6.84
1113	720	3	19.44
112	475	19	16.05
251	634	3	6.86
1510	579	3	19.21
158	1197	5	14.96
3238	130	3	7.32
1504	164	3	7.89
1988	113	7	12.68
4562	118	5	20.43
133	2444	6	23.81
1374	2	8	9.93
12	814	22	6.91
3624	2	4	8.27
6475	105	3	7.8
691	134	6	7.32
310	12	60	7.58
310	296	5	11.04
221	1379	3	10.38
282	333	4	7.87
138	431	8	9.45
400	283	4	9.01
101	2130	11	16.15
300	654	3	8.67
329	102	35	6.94
6733	136	3	17.84
3076	162	3	13.55
177	726	5	11.52
2737	122	4	7.93
1819	165	4	13.62
2462	111	7	15.57
108	1529	8	7.39
1389	129	5	8.16
114	808	11	11.39
182	1502	3	8.69
105	167	132	76.36
622	227	4	11.38
816	301	3	10.06
16	5285	3	9.59
465	595	3	11.31
145	1056	4	7.61
139	1419	6	18.4
1619	439	3	16.95
130	5686	3	11.98
727	666	3	14.66
116	1450	9	16.68
121	367	19	18.91
111	247	34	9.95
115	4932	4	16.14
246	1443	3	11.52
133	802	10	23.78
5653	114	3	7.77
5884	106	3	8.61
168	485	5	6.91
7459	104	3	7.38
627	16	10	8.75
111	146	91	16.99
104	1271	13	14.2
1638	104	9	7.36
4741	114	3	7.77
177	2400	3	11.62
189	161	16	17.07
126	2719	4	12.5
3601	133	3	9.47
261	668	4	13.17
122	1410	7	11.81
224	322	6	11.2
7	3658	5	7.66
5679	124	3	10.86
121	168	41	9.13
6479	108	3	9.29
106	4539	4	7.02
633	144	9	22.19
134	1860	4	9.42
3368	8	5	22.39
121	124	111	10.03
168	108	75	12.22
605	116	18	26.39
481	464	3	9.49
959	293	3	10.84
13	432	9	8.48
1070	195	4	12.43
4353	16	3	7.57
173	719	13	55.86
2242	112	5	6.8
589	555	3	12.18
1501	133	8	26.65
439	109	22	9.86
5518	112	3	7.25
1609	116	6	7.54
108	4081	5	15.48
618	177	7	18.4
4456	118	4	16.34
134	3442	4	16.44
6104	103	3	7.43
178	183	11	6.8
426	101	38	9.03
845	134	6	9.39
1565	1764	5	49.6
206	12	119	18.47
218	118	47	39.26
2305	12	10	10.98
124	422	11	7.71
142	1414	4	9.92
194	1072	3	7.66
111	2805	6	12.63
153	654	6	12.12
163	1738	3	8.34
2144	107	7	8.19
145	749	6	11.99
335	9	13	12.53
1111	102	16	17.31
1781	101	11	7.6
379	544	3	9.49
798	101	21	7.14
228	123	26	13.79
145	801	5	8.62
2005	12	11	12.08
441	134	8	7.68
2544	134	3	7.06
902	310	5	23.09
110	2533	6	9.36
126	276	15	8.45
322	1676	3	14.86
866	213	3	6.96
112	282	27	11.47
211	333	7	15.5
101	3149	7	10.28
147	362	7	7.47
840	239	3	8.21
2923	523	3	22.08
990	115	8	6.85
471	122	12	7.34
3611	101	6	8.81
165	577	6	11.79
1237	156	4	9.62
12	1831	12	7.85
812	134	6	9
5851	107	3	8.78
1656	103	9	7.46
175	12	154	8.35
165	525	5	7.58
200	1210	3	9.13
305	866	3	10.48
1293	118	7	7.6
719	244	4	12.51
1049	296	4	17.4
228	1444	3	10.8
105	1231	11	7.84
3340	130	3	7.32
102	115	527	16.03
2892	12	8	8.78
1422	111	7	6.69
2515	134	3	7.06
417	104	30	17.26
1076	907	3	18.88
122	209	29	8.87
11	121	11	7.81
2312	151	7	36.85
1032	119	8	7.82
351	892	10	67.21
133	1767	7	23.49
2592	121	4	6.78
509	110	17	7.39
112	5150	3	7.25
111	1268	8	6.94
433	982	9	63.59
169	329	7	9.57
116	426	15	7.47
4041	3994	5	86.01
6233	109	3	9.28
104	142	152	26.08
352	166	7	11.83
3767	104	5	7.59
578	158	5	7.86
2	1557	7	8.57
873	114	13	18.65
3049	7	6	9.81
155	2737	3	10.92
1965	3587	5	64.3
119	2597	5	9.69
144	1096	4	8.07
705	297	3	9.28
693	2749	3	24.01
5044	114	3	7.77
1442	578	3	18.89
4404	112	4	10.56
104	2443	7	9.08
117	3071	4	7.66
955	809	3	17.62
525	8	10	13.01
146	1781	3	6.88
5141	119	4	16.81
5548	128	3	12
381	7	39	32.08
4531	121	3	7.24
3046	313	3	19.43
112	610	15	14.32
505	1037	3	15.97
106	1397	15	36.18
2651	316	3	18.89
7	444	25	7.81
525	269	5	15.66
146	1662	4	10.92
1044	226	3	8.96
104	6772	3	7.38
129	1079	8	16.48
110	7585	3	9.75
474	402	4	14.38
16	341	15	7.91
4946	105	4	10.4
113	2738	5	9.94
5	154	24	20.04
208	171	13	14.81
4982	127	3	11.68
468	130	9	6.97
144	586	6	9.04
851	101	22	12.98
208	120	36	17.55
2127	111	6	7.63
5	103	120	22.36
126	3352	3	7.22
