539	105	4	4.65
102	2480	7	36.7
104	804	14	61.03
180	102	37	81
129	2382	4	33.29
177	1404	4	38.97
136	466	6	40.69
825	12	6	8.18
175	5546	4	57.82
115	5221	3	23.34
104	2597	5	23.52
214	460	5	42.99
12	2227	7	28.12
367	123	10	57.26
119	207	8	24.34
220	181	10	75.51
102	6894	3	20.88
116	1220	3	13.4
120	1007	7	44.22
241	116	5	10.56
2958	13	8	107.64
39	130	3	7.64
101	604	9	11.61
329	103	12	24.08
300	487	4	36.12
1212	125	3	17.02
194	345	3	19.17
108	3553	5	35.3
12	1654	3	4.26
102	3324	4	18.47
432	12	15	28.85
110	845	7	31.99
4728	113	3	22.33
285	2	4	4.6
111	1071	11	70.44
168	4134	4	49.51
104	1619	5	17.81
2572	105	3	10.58
5	139	3	7.22
123	1585	4	27.52
112	499	5	16.55
6365	12	3	13.66
127	434	3	11.34
165	519	6	48.7
106	2657	5	27.24
2083	116	5	34.46
102	1799	5	17.12
101	859	5	4.46
108	1944	3	12.39
126	424	3	10.95
1905	4	13	223.75
98	2692	7	36.75
716	109	3	6.86
1087	101	9	21.36
939	106	3	5.77
2928	101	4	11.04
118	3251	3	20.45
102	1037	7	20.21
2563	14	4	13.38
119	563	4	15.74
2276	101	6	19.66
104	2275	5	22.28
681	109	12	60.89
1677	109	4	18.74
2785	109	4	23.64
133	540	8	57.81
4016	101	5	23.23
2421	12	3	6.55
565	12	17	45.51
363	21	4	27.4
4833	113	3	22.33
3640	7025	3	64.88
108	2604	3	14.14
128	2061	4	31.68
101	5650	4	22.81
98	1161	6	14.97
105	206	13	16.31
154	190	4	17.49
109	1440	4	17.14
111	5788	3	23.68
479	107	6	13.35
149	1844	3	26.14
268	105	10	13.24
101	1169	7	14.19
1740	107	3	9.88
2242	105	3	9.96
490	2	4	8.78
126	1646	3	19.26
159	2087	3	28.6
124	551	5	25.54
318	152	10	76.49
118	132	17	28.53
2220	14	3	7.51
149	3520	5	59.43
230	14	16	18.14
798	125	8	55.22
1572	101	4	6.25
104	545	11	32.83
515	101	15	29.24
1712	101	9	31.86
772	106	3	4.59
1828	106	3	9.55
121	436	3	9.51
166	123	4	6.78
261	14	17	24.46
101	2792	3	6.37
128	269	4	13.43
123	2098	3	20.64
129	3920	3	27.45
105	5304	3	18.01
115	405	17	98.75
115	353	25	158.27
1033	12	9	23.13
106	929	3	5.58
109	2397	3	14.86
2192	110	4	22.65
102	1214	17	98.16
239	105	12	16.86
101	557	8	7.91
524	2	3	5.39
108	1519	4	16.68
109	2219	4	21.63
98	4470	4	21.43
12	6016	3	13.66
336	220	14	141.83
162	122	10	31.7
3666	107	5	32.51
1315	12	4	5.68
5136	180	3	36.96
755	107	5	13.13
107	517	5	10.02
369	103	5	4.17
222	157	3	13.51
7236	5385	3	69.94
507	108	11	44.78
98	760	28	153.34
750	101	6	5.6
121	331	3	7.7
1181	14	6	15.01
1469	101	8	22.09
3563	101	4	13.61
217	4178	3	37.44
104	1360	3	6.5
2974	14	3	9.59
909	5353	3	50.87
603	106	4	6.63
2751	101	7	30.63
101	3817	3	9.15
5408	101	3	12.73
102	3141	5	24.41
2609	101	3	5.73
609	931	3	33.76
114	194	5	6.03
109	5462	4	35.89
103	1042	3	4.77
13	235	6	33.12
108	493	5	12.09
499	896	3	32.46
107	1145	9	43.16
107	1281	3	8.16
12	475	28	99.25
131	503	4	21.44
292	12	10	5.11
104	204	35	105.26
417	439	6	63.21
141	601	5	36.09
110	1442	3	11.77
112	2020	3	15.11
4002	105	3	14.29
198	110	7	10.1
4371	107	4	25.08
129	244	18	114.3
104	2955	4	18.82
102	279	16	29.58
107	7242	3	24.49
101	1525	4	5.81
112	5396	3	24.52
114	281	6	14.81
120	391	5	18.57
105	2345	3	9.96
5068	740	3	47.23
103	955	5	11.89
2061	14	4	11.72
4746	14	3	13.21
103	887	13	56.17
2761	114	3	17.78
114	112	61	71.32
108	1227	5	20.99
301	109	5	8.17
102	1558	3	5.91
2510	101	5	15.25
102	7508	3	20.88
927	109	3	8.42
46	182	5	27.2
1099	14	4	6.57
1804	101	8	27.22
288	104	12	21.39
812	101	9	16.05
216	121	6	17.3
704	106	7	20.51
139	112	24	60.48
128	356	3	10.63
104	1485	4	11.8
101	3019	4	12.2
117	2057	3	17.45
110	122	20	9.06
101	3063	4	12.2
326	12	28	70.26
112	813	7	34.46
111	454	11	49.5
118	1302	3	14.26
1874	12	4	8.34
2429	825	3	42.51
171	110	11	18.97
5753	105	4	29.95
104	1332	3	6.21
101	2687	4	11.04
104	1152	3	5.46
605	834	3	33.12
109	847	21	149.78
2944	12	5	18.14
143	117	12	23.69
3912	103	3	13.81
1537	101	6	13.46
107	169	10	7.72
102	7465	3	20.88
1006	6149	4	74.62
111	3062	3	17.67
658	101	14	31.91
838	106	5	13.08
115	453	5	17.41
196	2931	5	61.72
341	451	5	48.46
102	480	40	223.17
4278	101	5	23.23
1506	101	6	13.46
581	101	12	20.69
101	1164	8	18.45
914	14	5	8.44
691	101	9	13.18
534	186	4	31.28
170	132	7	25.28
1256	105	9	39.29
163	12	47	66.5
373	115	6	20.33
12	46	24	17.47
12	6438	3	13.66
110	1239	5	23.43
142	147	4	11.46
109	2122	5	28.72
3816	12	3	10.04
277	806	5	51.64
103	190	26	51.16
103	272	10	12.45
3013	107	6	40.05
7602	139	3	39.64
1918	113	3	15.14
101	1781	5	11.34
102	936	7	18.55
214	102	10	6.23
113	329	3	4.72
105	243	24	64.68
267	514	4	35.13
124	897	4	22.41
105	164	13	7.52
98	1112	19	104.28
986	101	6	8.51
101	5631	3	12.73
1450	14	4	8.38
4558	101	5	28.52
123	101	172	183.56
12	731	7	9.94
107	3342	5	32.51
104	903	12	50.65
308	119	22	134.73
102	2261	4	13.86
134	103	24	9.36
730	14	5	6.54
242	108	5	5.01
4572	2674	3	56.25
612	411	3	29.02
